Deal Type;Announce Date;Target Name;Acquirer Name;Seller Name;Announced Total Value (mil.);Payment Type;TV/EBITDA;Deal Status;Nature of Bid;Target ISIN;Acquirer ISIN;Competing Bid Premium;Premium to 1-Month Avg Px (%);Percent Sought;Percent Owned;Net Debt
M&A;20/01/2005;Meridian Energy Corp;True Energy Inc;;116.06;Cash or Stock; ;Completed;Friendly;CA58960K2002;CA8978381082;0.0000;-8.94307;100.000000;0.000000;0.000000
M&A;20/01/2005;Val Vista Energy Ltd;AvenEx Energy Corp;;24.03;Cash or Stock; ;Completed;Friendly;CA9188422047;CA05355T1140;0.0000;-10.6007;100.000000;0.000000;0.000000
M&A;21/01/2005;August Technology Corp;Onto Innovation Inc;;121.97;Stock; ;Terminated;Friendly;N.A.;US6833441057;0.0000;0;100.000000;0.000000;-45.490002
M&A;21/01/2005;North Atlantic Natural Resources AB;Lundin Mining Corp;;12.83;Cash or Stock;5.37;Completed;Friendly;SE0000383531;CA5503721063;0.0000;-40.4133;26.000000;74.000000;0.000000
INV;21/01/2005;ITS Group;ITS Group Implementation Technology Software SA;;1.32;Cash;2.05;Completed;Friendly;FR0000073843;FR0000075756;0.0000;17.1516;24.000000;0.000000;0.000000
M&A;21/01/2005;Fieldwood SD Offshore LLC;Icahn Enterprises LP;;N/A;Cash and Stock; ;Completed;Friendly;US6981061012;US4511001012;0.0000;0;100.000000;0.000000;0.000000
M&A;21/01/2005;GB Holdings Inc/Old;Icahn Enterprises LP;;N/A;Cash and Stock; ;Completed;Friendly;US36150A1097;US4511001012;0.0000;0;41.200001;36.299999;0.000000
M&A;24/01/2005;Okuma & Howa Machinery Ltd;OKUMA Corp;;101.26;Stock;26.36;Completed;Friendly;JP3178000000;JP3172100004;0.0000;-1.39594;84.400002;15.600000;-478.000000
M&A;24/01/2005;Okuma Engineering Co Ltd;OKUMA Corp;;11.30;Stock;6.27;Completed;Friendly;JP3177200007;JP3172100004;0.0000;6.07344;40.500000;59.500000;0.000000
M&A;24/01/2005;Alma Media Oyj/Old;Alma Media Oyj;;N/A;Stock; ;Completed;Friendly;FI0009007017;FI0009013114;0.0000;0;47.299999;52.700001;0.000000
M&A;25/01/2005;Empresa Nacional de Telecomunicaciones SA;Almendral SA;Telecom Italia SpA/Milano;928.27;Cash;4.77;Completed;;CLP371151059;CLP0170E1065;0.0000;;54.759998;0.000000;0.000000
M&A;25/01/2005;Community Bank Of Northern Virginia;Mercantile Bankshares Corp;;209.28;Cash or Stock; ;Completed;Friendly;US2035661048;US5874051015;0.0000;-30.7362;100.000000;0.000000;0.000000
M&A;25/01/2005;Corio Inc;International Business Machines Corp;;168.05;Cash; ;Completed;Friendly;US2188751026;US4592001014;0.0000;42.9658;100.000000;0.000000;-28.650000
M&A;25/01/2005;Altedia SASU;Adecco Group AG;;67.92;Cash;9.79;Completed;Friendly;FR0004031672;CH0012138605;0.0000;15.9616;50.500000;0.000000;-5.125000
M&A;25/01/2005;AlphaSmart Inc;Renaissance Learning Inc;;51.17;Cash or Stock;10.94;Completed;Friendly;US02081F1049;US75968L1052;0.0000;0.261997;100.000000;0.000000;-4.370000
M&A;26/01/2005;Magnum Hunter Resources Inc;Cimarex Energy Co;;2030.61;Stock;6.10;Completed;Friendly;US55972F2039;US1717981013;0.0000;18.8458;100.000000;0.000000;639.390015
INV;26/01/2005;Shanying International Holding Co Ltd;Cheng Loong Corp;Maanshan Shanying Paper Industry Group Co Ltd;12.48;Cash;3.98;Terminated;;CNE0000019B0;TW0001904001;0.0000;;23.278999;0.000000;0.000000
